Year,FertilityRate,LifeExpectancyAtbirth,FemalPercentage,PopulationGrowth_Rate,GDP_Growth_Rate,HealthExpenditure_PerCapita
1961,5.01,52.98,49.99929423,1.353022278,4.302162366,
1962,5.03,53.4,49.98947829,1.721104234,5.532284714,
1963,5.05,53.94,49.97506287,2.07357604,5.178146598,
1964,5.06,54.61,49.96209837,2.047850034,6.647585747,
1965,5.04,55.28,49.95062023,2.046407405,5.56218463,
1966,5,56.02,49.9388698,2.098946144,5.771337924,
1967,4.98,56.73,49.92917105,2.044577039,4.394221328,
1968,4.93,57.34,49.91966419,2.026216382,6.156913555,
1969,4.86,57.96,49.90964656,2.104314037,6.100138417,
1970,4.78,58.55,49.89733576,2.080012842,4.288414633,
1971,4.68,59.08,49.88354938,2.097510746,4.252568334,
1972,4.55,59.57,49.86962652,2.039337579,5.676559496,
1973,4.42,60.02,49.85525479,1.97406783,6.465259157,
1974,4.3,60.51,49.84233374,1.951411226,1.988096562,
1975,4.17,60.96,49.83142985,1.873131994,0.904280847,
1976,4.05,61.38,49.8224272,1.789899762,5.270893772,
1977,3.94,61.8,49.81510491,1.752427779,4.0059881,
1978,3.85,62.16,49.80885487,1.752499833,4.101750677,
1979,3.78,62.52,49.80314495,1.76218078,4.107076291,
1980,3.72,62.8,49.79798955,1.746611513,1.959870252,
1981,3.66,63.14,49.7931333,1.756274751,1.938220691,
1982,3.63,63.46,49.78781382,1.790428845,0.513327405,
1983,3.6,63.71,49.78219538,1.774191023,2.525425302,
1984,3.57,63.97,49.77604289,1.738076163,4.559736988,
1985,3.54,64.22,49.76843103,1.745711517,3.902417937,
1986,3.51,64.52,49.75909007,1.772847306,3.251033466,
1987,3.47,64.77,49.74827029,1.787236863,3.618510211,
1988,3.42,64.97,49.73683365,1.77333198,4.622464204,
1989,3.35,65.19,49.7257765,1.742056818,3.761958873,
1990,3.28,65.39,49.71509214,1.731799681,2.941772667,
1991,3.19,65.57,49.70524225,1.643595966,1.360749579,
1992,3.1,65.74,49.69770806,1.556520583,1.786306903,
1993,3.01,65.86,49.68973647,1.545859276,1.659514392,
1994,2.94,66.07,49.68260122,1.50547897,3.025677584,
1995,2.87,66.28,49.67452894,1.50674836,2.956546485,
1996,2.81,66.56,49.6701204,1.450321841,3.337073396,461.5452345
1997,2.76,66.86,49.66717937,1.433045629,3.755412504,467.6456622
1998,2.72,67.1,49.66467598,1.398662072,2.445104378,463.1488913
1999,2.68,67.34,49.66142168,1.364521461,3.301283648,466.7647608
2000,2.66,67.61,49.65605877,1.33444658,4.334143985,483.9570371
2001,2.63,67.9,49.64858348,1.310538449,1.965964464,493.0503088
2002,2.61,68.16,49.63938552,1.277433298,2.181566046,506.3747111
2003,2.6,68.42,49.62930369,1.262879703,2.896108913,535.3855567
2004,2.58,68.75,49.61925473,1.255470297,4.460708065,601.7377913
2005,2.56,69.01,49.60958565,1.246725561,3.82369355,661.9037502
2006,2.55,69.34,49.60064946,1.239838129,4.382893005,706.8123538
2007,2.54,69.64,49.59243189,1.229926144,4.305259376,748.8140604
2008,2.53,69.91,49.58494778,1.235349185,1.843533646,822.3055546
2009,2.51,70.22,49.57800609,1.222987321,-1.678785955,895.8731227
2010,2.5,70.49,49.57120185,1.209310258,4.34745964,906.9136286
2011,2.48,70.76,49.56549566,1.202017647,3.129764426,948.6973739
2012,2.48,71,49.55996139,1.17803119,2.476152307,1019.763427
2013,2.46,71.24,49.55557682,1.222106405,2.397652281,1026.154802
2014,2.45,71.45,49.55198732,1.180142115,2.629987576,1041.749957
